SC1095: 2D CFD runs
4 31    :nMach nAoA
==============================
-- Lift coefficient
==============================
0.3	-7	1.27E-02
0.3	-6	1.17E-02
0.3	-5	1.08E-02
0.3	-4	1.03E-02
0.3	-3	9.86E-03
0.3	-2	9.68E-03
0.3	-1	9.59E-03
0.3	0	9.59E-03
0.3	1	9.68E-03
0.3	2	9.86E-03
0.3	3	1.02E-02
0.3	4	1.06E-02
0.3	5	1.11E-02
0.3	6	1.18E-02
0.3	7	1.28E-02
0.3	8	1.39E-02
0.3	9	1.50E-02
0.3	10	1.62E-02
0.3	11	1.86E-02
0.3	12	2.36E-02
0.3	13	3.32E-02
0.3	14	5.09E-02
0.3	15	7.90E-02
0.3	16	1.20E-01
0.3	17	1.64E-01
0.3	18	1.95E-01
0.3	19	2.31E-01
0.3	20	2.66E-01
0.4	-10	5.97E-02
0.4	-9	3.11E-02
0.4	-8	1.49E-02
0.4	-7	1.25E-02
0.4	-6	1.16E-02
0.4	-5	1.01E-02
0.4	-4	9.77E-03
0.4	-3	9.40E-03
0.4	-2	9.25E-03
0.4	-1	9.15E-03
0.4	0	9.15E-03
0.4	1	9.25E-03
0.4	2	9.44E-03
0.4	3	9.75E-03
0.4	4	1.02E-02
0.4	5	1.07E-02
0.4	6	1.13E-02
0.4	7	1.21E-02
0.4	8	1.31E-02
0.4	9	1.51E-02
0.4	10	1.98E-02
0.4	11	2.99E-02
0.4	12	5.00E-02
0.4	13	8.00E-02
0.4	14	1.16E-01
0.4	15	1.48E-01
0.4	16	1.71E-01
0.4	17	1.91E-01
0.4	18	2.24E-01
0.4	19	2.58E-01
0.4	20	2.87E-01
0.5	-10	8.79E-02
0.5	-9	6.16E-02
0.5	-8	3.35E-02
0.5	-7	1.83E-02
0.5	-6	1.21E-02
0.5	-5	1.00E-02
0.5	-4	9.51E-03
0.5	-3	9.17E-03
0.5	-2	8.98E-03
0.5	-1	8.89E-03
0.5	0	8.90E-03
0.5	1	9.01E-03
0.5	2	9.23E-03
0.5	3	9.56E-03
0.5	4	1.00E-02
0.5	5	1.05E-02
0.5	6	1.11E-02
0.5	7	1.26E-02
0.5	8	1.72E-02
0.5	9	2.73E-02
0.5	10	4.46E-02
0.5	11	6.86E-02
0.5	12	9.69E-02
0.5	13	1.27E-01
0.5	14	1.58E-01
0.5	15	1.93E-01
0.5	16	2.23E-01
0.5	17	2.41E-01
0.5	18	2.77E-01
0.5	19	3.04E-01
0.5	20	3.26E-01 
==============================
-- Pitching moment coefficient
==============================
0	-10	-1.56E-02
0	-9	-1.92E-02
0	-8	-1.60E-02
0	-7	-1.25E-02
0	-6	-1.15E-02
0	-5	-1.22E-02
0	-4	-1.30E-02
0	-3	-1.34E-02
0	-2	-1.36E-02
0	-1	-1.39E-02
0	0	-1.42E-02
0	1	-1.45E-02
0	2	-1.48E-02
0	3	-1.49E-02
0	4	-1.49E-02
0	5	-1.46E-02
0	6	-1.39E-02
0	7	-1.31E-02
0	8	-1.21E-02
0	9	-1.10E-02
0	10	-9.00E-03
0	11	-5.15E-03
0	12	-1.59E-03
0	13	-2.22E-03
0	14	-1.15E-02
0	15	-2.92E-02
0	16	-5.43E-02
0	17	-8.14E-02
0	18	-9.84E-02
0	19	-1.07E-01
0	20	-1.13E-01 
0.3	-10	-1.56E-02
0.3	-9	-1.92E-02
